Private,Apps,Accept,Enroll,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Elite
No,1458,874,588,1846,154,9843,3180,600,1500,74,78,14.6,16,6716,51,Yes
No,11054,6397,3524,16502,21836,8949,3744,714,2910,88,90,12.2,37,16122,45,No
No,3844,3383,1669,7524,804,4916,3810,600,550,81,86,20.3,14,6971,53,No
No,6574,4637,2940,14782,1583,9057,3485,600,1983,87,87,12.7,15,10145,58,No
No,1877,1826,823,3926,561,9057,3600,700,1435,88,88,14.4,23,9699,49,No
No,1618,1141,479,4793,4552,7246,3964,500,4288,71,73,13.4,15,6433,48,No
Yes,452,331,269,1417,301,6150,3680,550,1200,59,63,16.6,4,5412,52,No
No,1351,892,570,2385,331,4440,3030,300,600,72,72,18.9,8,5883,51,No
No,6277,6003,3526,16454,3171,5595,3145,500,2070,86,92,15.1,48,6813,53,No
Yes,1209,750,265,820,159,11450,5045,900,2500,72,75,11.4,13,9718,64,No
No,9750,7640,2529,10358,1338,11180,3862,650,2450,89,87,17.5,16,7855,75,No
No,1757,979,394,2033,1078,5972,3420,600,750,77,83,13,11,7011,37,No
No,14596,5985,3331,14609,1100,8400,4200,550,1200,88,93,8.9,23,15893,83,Yes
No,5803,4441,1730,10099,3255,7248,3109,600,1900,79,91,16.8,7,6227,62,No
No,5191,4134,1500,7532,1847,8677,3505,600,1300,75,94,15.5,17,7392,53,No
No,6071,3856,1449,6635,1145,7558,3680,500,1500,82,85,19.1,15,6005,55,No
No,2777,2249,1652,8334,1435,5634,2703,450,1200,97,97,15.9,16,9424,49,No
No,1800,1253,560,3876,3588,6634,4360,600,2604,82,85,17.8,14,6104,47,No
No,4418,2737,2049,14047,5134,4104,3579,450,1700,86,94,22.6,6,5657,35,No
No,5530,4007,1697,8463,1498,7731,4128,540,2286,75,75,21.5,8,6309,40,No
No,4144,3379,1853,10135,1448,6197,2930,595,2380,78,82,16.3,26,6333,77,No
Yes,7700,3700,1906,7671,30,16850,4400,600,1350,96,92,13.1,46,13936,97,Yes
No,4743,3970,2233,13436,2582,5173,3526,765,3176,86,90,11.5,11,10244,44,No
No,8631,6732,2546,11669,1605,10602,3660,570,1530,79,87,19.7,13,8020,54,No
Yes,12394,5232,2464,9205,531,17020,7270,500,1544,95,96,6.3,38,25765,93,Yes
No,8586,6383,2503,13138,4289,10786,4560,400,900,93,93,7.8,10,13789,66,No
Yes,1758,1485,419,2041,174,12040,4100,600,1100,92,96,13.2,17,9060,72,No
Yes,4044,2826,688,2738,138,16230,4500,630,1800,79,86,15,17,11217,63,Yes
No,9643,7751,1968,8894,2456,10330,5558,500,1250,84,89,16.6,7,9158,63,No
Yes,5892,2718,756,2854,594,14500,3285,700,1125,75,89,11.7,32,11984,100,No
Yes,8766,5498,1243,5071,438,17840,6582,500,882,93,99,5.9,23,26037,80,Yes
Yes,3934,2735,886,3698,217,13600,5940,630,1820,93,96,15.6,13,10813,66,No
Yes,2306,1721,538,4309,549,13226,6452,750,2450,86,86,13.6,8,10074,62,No
No,285,280,208,1140,473,3687,1920,600,1800,67,77,23.6,3,3864,43,No
Yes,4471,2942,910,3674,493,11584,5986,650,800,83,83,14.1,41,9131,92,No
No,848,560,377,1855,1412,5800,3066,500,1500,62,62,14.8,3,5035,48,No
No,7693,5815,2328,12594,3661,8074,3522,495,2941,84,88,16.9,18,8246,63,No
No,7589,4676,1876,14770,10962,6760,3776,500,2180,84,89,17,7,11020,47,No
Yes,12229,8498,2477,13259,1429,17230,6482,600,2210,90,94,11.4,10,17007,68,No
No,1401,1239,605,3716,675,7100,4380,540,2948,63,88,19.4,0,5389,36,No
No,2379,2133,1292,4283,2973,4973,3192,500,1425,56,65,22,21,4078,38,No
No,2850,2044,1046,9260,1387,4652,2470,500,500,78,99,18.7,23,5917,45,No
Yes,2057,1807,828,4106,982,11712,4037,500,800,80,80,13.8,13,8546,89,No
Yes,374,280,185,995,408,8550,4050,500,1344,75,75,12.6,17,7237,62,No
No,7473,5372,3013,15749,3237,5764,3262,750,3300,86,92,16.5,22,8612,53,No
No,3281,2559,1448,10975,8431,4422,2780,500,2850,73,73,21,4,4696,29,No
No,14752,9572,5329,30017,5189,5130,3309,650,3140,91,99,19.7,11,7837,65,No
No,4217,3100,1686,9375,5457,4104,5376,452,1200,94,100,25.3,3,4329,50,No
Yes,974,704,290,1145,39,12520,3860,1300,700,16,59,7.5,9,11641,57,No
Yes,2459,1997,582,2664,299,16320,5326,646,1171,87,94,11.2,14,13706,65,No
Yes,1445,966,326,1129,24,15350,4080,450,810,89,93,10.3,52,18784,82,No
Yes,1712,1557,696,2936,433,11750,4160,1200,2350,94,96,11.5,10,11743,47,No
No,5095,4491,2400,13894,8374,6857,3975,858,3093,89,93,12.8,9,9275,37,No
No,7663,6008,1735,7353,1674,15516,4928,500,990,87,90,9.9,10,12646,79,No
No,15849,5384,2678,11278,114,12212,3792,500,1000,90,92,9.5,22,13597,95,Yes
No,12749,7025,3343,20356,4582,8199,4218,708,2172,96,94,9,10,16527,65,No
No,1558,1254,472,3754,2477,6172,3994,541,1387,83,87,23.4,12,8488,53,No
No,2593,1966,1030,6038,579,6704,2592,376,1750,78,78,21,17,6254,65,No
No,910,910,342,1434,417,7032,2780,550,1960,75,81,15.2,15,6490,36,No
No,4400,3719,1472,7804,1552,6950,2500,300,1200,90,95,23.1,16,5559,67,No
No,2409,1939,759,3819,1347,6900,2800,475,1200,81,89,22.2,1,5968,46,No
No,14901,10932,4631,23945,2200,9096,4290,535,1545,93,96,11.5,20,11006,72,No
No,5244,3782,1930,11561,7443,8786,2964,570,1980,79,87,15.9,8,8094,38,No
No,2029,1516,1073,7535,1488,5988,3422,600,1500,91,94,15.1,13,8745,45,No
Yes,663,452,192,1481,1160,8840,3060,500,1000,69,75,17.4,19,3733,78,No
Yes,1399,1026,308,1131,17,14900,5160,500,800,82,85,11.6,40,12082,79,No
Yes,325,260,86,699,717,9600,4202,450,750,39,69,10.5,15,7164,68,No
No,368,344,212,863,189,4286,2570,600,2000,39,41,14.9,25,4958,40,No
Yes,2075,1727,520,2501,198,11800,3260,500,800,87,89,14.2,23,9681,95,No
Yes,7791,4690,1499,5500,90,17865,6525,630,952,93,98,5.8,26,23850,83,Yes
Yes,3550,1877,653,2164,77,18920,5950,600,800,90,98,9.7,39,17089,90,Yes
Yes,7759,5588,1477,6362,1292,15925,6507,400,300,89,90,13.4,24,10458,96,No
No,4963,3497,1567,10262,5065,10217,4182,500,3630,81,87,8.7,11,11183,45,No
No,2996,2440,704,3006,338,5587,4845,500,600,61,63,16,11,5733,31,No
No,15712,11719,4277,18511,604,10260,3176,740,2200,85,89,13.8,20,8944,73,No
Yes,1847,1610,453,1298,67,7384,3494,500,1763,51,67,13.7,8,6757,30,No
Yes,1470,900,287,1130,417,10900,5100,500,550,70,81,15.7,14,7804,68,No
Yes,647,518,271,1014,387,9140,3365,500,2245,51,65,10.7,31,8050,73,No
Yes,1465,1006,188,703,20,4450,2522,500,1200,43,43,22.9,3,5861,58,No
Yes,800,623,256,801,5,12925,4195,500,635,78,85,9.9,55,14904,72,No
Yes,1416,1015,417,1324,117,13500,5800,585,1700,67,78,13.2,23,9006,75,No
Yes,5661,2392,903,3499,172,13850,4360,500,1250,95,97,4.3,37,41766,89,Yes
Yes,1092,890,477,847,497,8670,4180,500,1450,42,58,11.3,33,5738,68,No
Yes,440,311,112,466,7,10000,3052,400,1100,65,75,11.4,20,9430,63,No
Yes,1231,1074,345,1295,105,11600,3610,400,850,66,91,12.4,37,7735,67,No
Yes,1305,1100,334,1098,151,16260,4005,300,500,91,91,12.1,40,10162,86,No
Yes,3315,1096,425,1584,3,13750,4619,680,1115,81,96,9.6,45,15736,90,Yes
Yes,1209,942,214,822,46,15276,5318,500,300,79,86,11.2,37,10830,65,No
No,6540,5839,2440,14445,1344,8200,4210,800,2719,84,87,16.9,30,10912,56,No
Yes,7654,5259,1254,4879,1274,18350,5775,768,1512,91,98,3.9,31,45702,90,Yes
No,1373,1373,724,2754,474,2700,2660,540,1660,60,68,20.3,29,4550,52,No
Yes,1190,978,324,1280,61,8840,3620,500,1200,57,58,16.2,26,6563,63,No
Yes,280,143,79,327,110,5590,2900,650,1952,53,63,15.1,4,4839,90,No
Yes,665,462,226,1739,1550,9160,4340,500,500,68,68,20.6,14,6951,48,No
Yes,2895,1249,579,2195,156,18345,5995,500,700,94,98,10.6,51,21409,91,Yes
Yes,318,240,130,416,19,14900,5550,600,500,93,98,8.3,42,13935,69,No
Yes,1480,1257,452,2961,572,9850,6050,850,920,10,68,15.4,8,17858,64,No
Yes,980,807,350,872,448,9890,4674,500,1350,52,57,14.4,15,6243,84,No
Yes,4772,1973,712,2714,27,19130,5600,1400,1400,90,94,12.1,39,16262,92,Yes
No,6502,3539,1372,7484,1904,7844,4108,400,2000,76,79,15.3,16,6773,52,No
No,1164,1062,478,2138,227,4470,2890,600,1210,33,33,16.3,10,4249,60,No
Yes,1566,1400,483,1509,170,14200,3775,450,1100,58,81,16.4,42,8080,67,No
No,3224,2519,1057,5000,706,6390,2380,110,1622,67,78,14.6,9,6554,55,No
Yes,1205,984,278,1071,98,14510,5340,500,1400,84,91,12.5,39,10026,60,No
No,9167,7191,2738,15739,4278,6940,4100,500,1700,80,84,24.7,11,5983,55,No
Yes,1650,1471,409,1803,1116,8994,5500,498,2065,74,97,15.4,15,8409,59,No
No,2702,1623,604,2315,146,5918,3755,500,2050,76,79,19.4,4,4599,52,No
No,5548,3563,1549,8909,506,8124,4144,639,2385,83,89,22.7,10,7203,61,No
No,3100,2150,825,3234,941,5542,3788,500,1300,75,79,15.7,20,4222,65,No
Yes,662,553,184,665,37,10720,4050,600,1650,66,70,12.5,20,7925,62,No
Yes,996,866,377,1411,72,12065,3615,430,685,62,78,12.5,41,8596,80,No
Yes,917,720,213,979,743,8820,4050,600,2025,68,83,10.5,34,7170,50,No
No,950,713,351,1276,9,14320,5304,490,1410,77,77,14.9,17,8837,87,No
Yes,1432,920,548,2200,56,11480,4200,530,1400,81,83,12.7,40,11916,85,Yes
Yes,1738,1373,417,1335,30,18460,5970,700,850,92,96,13.2,41,22704,71,No
Yes,903,755,213,971,305,10500,4545,600,600,66,71,14.1,27,7494,72,No
Yes,1861,998,359,1220,46,16670,4900,750,800,80,83,10.5,51,13198,72,No
Yes,1681,1069,344,1235,30,16249,5699,500,1998,84,92,13.6,29,11778,52,No
Yes,1121,926,372,1270,160,12660,4500,678,2424,80,80,16.9,20,8328,80,No
Yes,2139,1492,502,2186,2171,12350,5370,500,1350,88,86,12.6,19,9603,63,No
Yes,1631,1431,434,1803,603,11150,5130,550,1260,78,92,13.3,24,8543,67,No
Yes,1658,1327,395,1595,159,14800,4620,400,790,91,94,13.3,37,10779,68,No
Yes,663,547,315,1279,75,10060,2970,500,2600,74,80,11.2,19,7885,59,No
Yes,469,435,227,851,120,10535,4365,550,3700,39,66,12.9,16,7438,52,No
Yes,4186,1245,526,1988,29,19629,5790,500,1200,94,99,9,64,22014,99,Yes
Yes,167,130,46,199,676,11428,5084,450,475,67,76,8.3,43,10291,67,No
Yes,1239,1017,383,1207,157,7820,3400,550,1550,69,81,13.9,8,7264,91,No
No,3325,2047,1301,5800,872,4200,2700,300,1200,53,60,20.2,18,5318,58,No
No,2320,1805,769,3395,670,6400,3392,580,2150,71,80,12.8,26,6729,59,No
Yes,152,128,75,282,22,9100,3700,500,1400,48,48,8.5,26,8960,50,No
Yes,1979,1739,575,1980,144,15948,4404,400,800,82,95,12.8,29,10414,78,No
Yes,1501,935,273,1059,34,12680,4150,605,1440,91,92,15.3,42,7875,75,Yes
Yes,2768,2314,682,2802,86,15884,5370,530,730,92,94,15.2,34,10774,82,No
No,2197,1515,543,3089,2029,6797,3900,500,1200,60,60,21,14,4469,40,No
Yes,1959,1805,695,2849,1107,11520,4960,600,1250,73,75,13.3,31,9189,83,No
Yes,2097,1915,695,2793,166,6900,4200,617,781,67,75,14.4,20,8323,49,No
Yes,10705,2453,1317,5217,83,19840,6510,630,2115,96,96,5.8,49,40386,99,Yes
Yes,2989,1855,691,2988,1726,4990,3560,500,1250,75,75,18.1,28,4509,99,No
